,nome,link,dicas,dica-link
0,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Site da Editora Contexto,https://editoracontexto.com.br
1,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Documentário Timor Lorosae: O Massacre que o Mundo Não Viu,https://youtu.be/5bBbFiww2Uw
2,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Documentário Aguirre: a Coléra dos Deus,https://youtu.be/weuYp-XFxAo
3,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Petição contra o Desmonte do Espaço de Leitura do Parque da Água Branca,https://www.peticao.online/desmonte_do_espaco_de_leitura_do_parque_da_agua_branca
4,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Fronteiras Invisíveis do Futebol #74 – Camarões,https://xadrezverbal.com/2019/02/27/fronteiras-invisiveis-do-futebol-74-camaroes/
5,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Matéria No-deal Brexit: key points of Operation Yellowhammer report,https://www.theguardian.com/politics/2019/aug/18/no-deal-brexit-key-points-of-operation-yellowhammer-report
6,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Justiça nega pedido para impedir nomeação de Eduardo Bolsonaro para embaixador nos EUA, por Carolina Brígido",https://oglobo.globo.com/mundo/justica-nega-pedido-para-impedir-nomeacao-de-eduardo-bolsonaro-para-embaixador-nos-eua-23893874
7,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Mães brasileiras não conseguem registrar filho na França em nome das duas e expõem impasse no Itamaraty, de Juliana Gragnani",https://www.bbc.com/portuguese/brasil-49286329
8,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Estrangeiro já tirou R$19 bi da bolsa, por Juliana Machado e Lucas Hirata",https://www.valor.com.br/financas/6397335/estrangeiro-ja-tirou-r-19-bi-da-bolsa
9,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Família aguarda por candelariense retida nos Estados Unidos, por Luana Rodrigues",http://www.gaz.com.br/conteudos/regional/2019/08/20/152246-familia_aguarda_por_candelariense_retida_nos_estados_unidos.html.php
10,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Agromitômetro: licenciamento ambiental, do Observatório do Clima",http://www.observatoriodoclima.eco.br/agromitometro-licenciamento-ambiental/
11,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Documentário The National Parks: America’s Best Ideias,http://www.pbs.org/nationalparks/
12,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Coluna Pensando seriamente o planeta, por João Pereira Coutinho",https://www1.folha.uol.com.br/colunas/joaopereiracoutinho/2019/08/pensando-seriamente-o-planeta.shtml
13,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Matéria Roraima exporta 194 kg de ouro à Índia sem ter nenhuma mina operando legalmente, por João Fellet",https://www.bbc.com/portuguese/internacional-48534473
14,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Coluna G7 e o desejo de Macron de ser um grande interlocutor internacional,https://www.gazetadopovo.com.br/vozes/filipe-figueiredo/g7-e-o-desejo-de-macron-de-ser-um-grande-interlocutor-internacional/
15,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,Podcast Conexão Sudaca,http://www.central3.com.br/category/podcasts/conexao-sudaca/
16,"Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa",https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/,"Música de Encerramento Aluga-se, com Raul Seixas",https://youtu.be/d3iI-ktX2WI
0,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,Site da Editora Contexto,https://editoracontexto.com.br
1,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,Filme Easy Rider,https://www.imdb.com/title/tt0064276/
2,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,Filme 12 Homens e Uma Sentença (1957),https://www.imdb.com/title/tt0050083/
3,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,Filme 12 Homens e Uma Sentença (1997),https://www.imdb.com/title/tt0118528
4,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,Filmografia do Henry Fonda,https://www.imdb.com/name/nm0000020/
5,"Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa",https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/,"Livro Caricatura dos Tempos, de Belmonte",https://digital.bbm.usp.br/handle/bbm/2001
